name,career_url,ats_hint
Google India,https://careers.google.com,custom
Amazon India,https://amazon.jobs,custom
Microsoft India,https://careers.microsoft.com,custom
Meta India,https://www.metacareers.com,custom
Apple India,https://www.apple.com/careers,custom
Adobe India,https://careers.adobe.com,custom
Salesforce India,https://careers.salesforce.com,custom
Uber India,https://www.uber.com/careers,custom
Atlassian India,https://www.atlassian.com/company/careers,custom
Stripe India,https://stripe.com/jobs,custom
LinkedIn India,https://careers.linkedin.com,custom
Airbnb India,https://careers.airbnb.com,custom
ServiceNow India,https://careers.servicenow.com,custom
Workday India,https://workday.wd5.myworkdayjobs.com,workday
Snowflake India,https://careers.snowflake.com,custom
NVIDIA India,https://www.nvidia.com/en-us/about-nvidia/careers,custom
Qualcomm India,https://www.qualcomm.com/company/careers,custom
Intel India,https://jobs.intel.com,custom
Cisco India,https://jobs.cisco.com,custom
VMware India,https://careers.vmware.com,custom
SAP Labs India,https://jobs.sap.com,custom
Oracle India,https://www.oracle.com/careers,custom
IBM India,https://www.ibm.com/careers,custom
Dell Technologies India,https://jobs.dell.com,custom
Autodesk India,https://www.autodesk.com/careers,custom
Intuit India,https://www.intuit.com/careers,custom
PayPal India,https://careers.pypl.com,custom
Visa India,https://corporate.visa.com/en/jobs.html,custom
Goldman Sachs India,https://www.goldmansachs.com/careers,custom
JPMorgan Chase India,https://careers.jpmorgan.com,custom
Morgan Stanley India,https://www.morganstanley.com/careers,custom
Barclays India,https://search.jobs.barclays,custom
Deutsche Bank India,https://careers.db.com,custom
Walmart Global Tech India,https://careers.walmart.com/global-tech,custom
American Express India,https://aexp.eightfold.ai,eightfold
Nutanix India,https://www.nutanix.com/careers,custom
Databricks India,https://www.databricks.com/company/careers,custom
MongoDB India,https://www.mongodb.com/careers,custom
Confluent India,https://careers.confluent.io,custom
HashiCorp India,https://www.hashicorp.com/careers,custom
TCS,https://www.tcs.com/careers,custom
Infosys,https://www.infosys.com/careers,custom
Wipro,https://careers.wipro.com,custom
HCL Technologies,https://www.hcltech.com/careers,custom
Tech Mahindra,https://careers.techmahindra.com,custom
Cognizant,https://careers.cognizant.com,custom
Mphasis,https://careers.mphasis.com,custom
LTIMindtree,https://www.ltimindtree.com/careers,custom
Persistent Systems,https://www.persistent.com/careers,custom
Hexaware,https://careers.hexaware.com,custom
Zensar,https://www.zensar.com/careers,custom
Birlasoft,https://www.birlasoft.com/careers,custom
Coforge,https://www.coforge.com/careers,custom
L&T Infotech,https://www.lntinfotech.com/careers,custom
Capgemini India,https://www.capgemini.com/in-en/careers,custom
Accenture India,https://www.accenture.com/in-en/careers,custom
Deloitte India,https://www2.deloitte.com/in/en/careers.html,custom
EY India,https://careers.ey.com,custom
KPMG India,https://home.kpmg/in/en/home/careers.html,custom
Flipkart,https://www.flipkartcareers.com,custom
Myntra,https://careers.myntra.com,custom
Razorpay,https://razorpay.com/jobs,greenhouse
PhonePe,https://www.phonepe.com/careers,custom
CRED,https://careers.cred.club,custom
Zomato,https://www.zomato.com/careers,custom
Swiggy,https://careers.swiggy.com,custom
Meesho,https://careers.meesho.com,custom
Zerodha,https://zerodha.com/careers,custom
Groww,https://groww.in/careers,custom
Zoho,https://www.zoho.com/careers,custom
Freshworks,https://www.freshworks.com/company/careers,custom
Postman,https://www.postman.com/company/careers,greenhouse
Nykaa,https://www.nykaa.com/careers,custom
Urban Company,https://careers.urbancompany.com,custom
PharmEasy,https://pharmeasy.in/careers,custom
BigBasket,https://www.bigbasket.com/careers,custom
Lenskart,https://careers.lenskart.com,custom
PolicyBazaar,https://www.policybazaar.com/careers,custom
Paytm,https://paytm.com/careers,custom
MakeMyTrip,https://careers.makemytrip.com,custom
Ola,https://www.olacabs.com/careers,custom
Ola Electric,https://www.olaelectric.com/careers,custom
InMobi,https://www.inmobi.com/company/careers,custom
Cars24,https://www.cars24.com/careers,custom
Cult.fit,https://www.cult.fit/careers,custom
Dream11,https://www.dream11.com/careers,custom
Games24x7,https://games24x7.com/careers,custom
Juspay,https://juspay.in/careers,greenhouse
Zepto,https://www.zeptonow.com/careers,custom
Rapido,https://rapido.bike/careers,custom
Chargebee,https://www.chargebee.com/careers,greenhouse
Rocketlane,https://www.rocketlane.com/careers,greenhouse
Everstage,https://www.everstage.com/careers,greenhouse
Uniphore,https://www.uniphore.com/careers,custom
Yubi,https://www.go-yubi.com/careers,custom
M2P Fintech,https://www.m2pfintech.com/careers,custom
Innovaccer,https://innovaccer.com/careers,greenhouse
HighRadius,https://www.highradius.com/careers,custom
Whatfix,https://whatfix.com/careers,greenhouse
Darwinbox,https://darwinbox.com/careers,custom
Icertis,https://www.icertis.com/company/careers,custom
Zenoti,https://www.zenoti.com/careers,custom
LeadSquared,https://www.leadsquared.com/careers,custom
Hasura,https://hasura.io/careers,greenhouse
Fyle,https://www.fylehq.com/careers,custom
ClearTax,https://cleartax.in/careers,custom
Slice,https://sliceit.com/careers,custom
Jupiter Money,https://jupiter.money/careers,custom
Fi Money,https://fi.money/careers,custom
OneCard,https://www.getonecard.app/careers,custom
BharatPe,https://bharatpe.com/careers,custom
Pine Labs,https://www.pinelabs.com/careers,custom
Cashfree,https://www.cashfree.com/careers,greenhouse
Setu,https://setu.co/careers,greenhouse
Open Financial Technologies,https://open.money/careers,custom
Blinkit,https://blinkit.com/careers,custom
Dunzo,https://www.dunzo.com/careers,custom
Udaan,https://careers.udaan.com,custom
Shiprocket,https://www.shiprocket.in/careers,custom
Delhivery,https://www.delhivery.com/careers,custom
Purplle,https://purplle.com/careers,custom
FirstCry,https://www.firstcry.com/careers,custom
Licious,https://www.licious.in/careers,custom
Upstox,https://upstox.com/careers,custom
Smallcase,https://smallcase.com/careers,custom
INDmoney,https://www.indmoney.com/careers,custom
Angel One,https://www.angelone.in/careers,custom
CoinDCX,https://coindcx.com/careers,custom
CoinSwitch,https://coinswitch.co/careers,greenhouse
BYJU'S,https://byjus.com/careers,custom
Unacademy,https://unacademy.com/careers,custom
Vedantu,https://www.vedantu.com/careers,custom
PhysicsWallah,https://www.pw.live/careers,custom
upGrad,https://www.upgrad.com/careers,custom
Simplilearn,https://www.simplilearn.com/careers,custom
Scaler,https://www.scaler.com/careers,custom
Coding Ninjas,https://www.codingninjas.com/careers,custom
Practo,https://www.practo.com/careers,custom
Pristyn Care,https://www.pristyncare.com/careers,custom
1mg,https://www.1mg.com/careers,custom
HealthifyMe,https://www.healthifyme.com/careers,custom
BrowserStack,https://www.browserstack.com/careers,greenhouse
CleverTap,https://clevertap.com/careers,greenhouse
WebEngage,https://webengage.com/careers,custom
MoEngage,https://www.moengage.com/careers,greenhouse
Netcore Cloud,https://netcorecloud.com/careers,custom
Wingify (VWO),https://vwo.com/careers,custom
Locus.sh,https://locus.sh/careers,greenhouse
Shipsy,https://shipsy.in/careers,custom
Signzy,https://www.signzy.com/careers,custom
Hyperface,https://hyperface.co/careers,custom
Fractal Analytics,https://fractal.ai/careers,custom
Mu Sigma,https://www.mu-sigma.com/careers,custom
Tiger Analytics,https://www.tigeranalytics.com/careers,custom
LatentView Analytics,https://www.latentview.com/careers,custom
Tredence,https://www.tredence.com/careers,custom
Sigmoid,https://www.sigmoid.com/careers,custom
ThoughtWorks India,https://www.thoughtworks.com/careers,custom
EPAM Systems India,https://www.epam.com/careers,custom
Globant India,https://www.globant.com/careers,custom
Nazara Technologies,https://www.nazara.com/careers,custom
Zupee,https://zupee.com/careers,custom
WinZO,https://winzogames.com/careers,custom
Porter,https://porter.in/careers,custom
BlackBuck,https://www.blackbuck.com/careers,custom
Shadowfax,https://www.shadowfax.in/careers,custom
Tower Research Capital India,https://www.tower-research.com/careers,custom
DE Shaw India,https://www.deshaw.com/careers,custom
Optiver India,https://optiver.com/working-at-optiver/vacancies,custom
Graviton Research Capital,https://gravitontrading.com/careers,custom
Quadeye,https://www.quadeye.com/careers,custom
WorldQuant India,https://www.worldquant.com/careers,custom
Zscaler India,https://www.zscaler.com/careers,custom
CrowdStrike India,https://www.crowdstrike.com/careers,custom
SentinelOne India,https://www.sentinelone.com/careers,custom
Rapid7 India,https://www.rapid7.com/careers,custom
Qualys India,https://www.qualys.com/company/careers,custom
DeHaat,https://dehaat.gitlab.io/careers,custom
Ninjacart,https://ninjacart.in/careers,custom
Ecozen,https://ecozensolutions.com/careers,custom
Skyroot Aerospace,https://www.skyroot.in/careers,custom
Agnikul Cosmos,https://www.agnikul.in/careers,custom
Pixxel,https://www.pixxel.space/careers,custom
Mamaearth,https://mamaearth.in/careers,custom
boAt,https://www.boat-lifestyle.com/pages/careers,custom
Ather Energy,https://www.atherenergy.com/careers,custom
Sarvam AI,https://www.sarvam.ai/careers,custom
Krutrim,https://olakrutrim.com/careers,custom
NoBroker,https://www.nobroker.in/careers,custom
Housing.com,https://housing.com/careers,custom
Moglix,https://www.moglix.com/careers,custom
OfBusiness,https://www.ofbusiness.com/careers,custom
Zetwerk,https://www.zetwerk.com/careers,custom
Khatabook,https://khatabook.com/careers,custom
Vyapar,https://vyaparapp.in/careers,custom
Digit Insurance,https://www.godigit.com/careers,custom
Acko,https://www.acko.com/careers,custom
HDFC Bank,https://www.hdfcbank.com/careers,custom
ICICI Bank,https://www.icicicareers.com,custom
Axis Bank,https://www.axisbank.com/careers,custom
Kotak Mahindra Bank,https://www.kotak.com/en/careers.html,custom
